sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-153,SEA-153,French,multilingual_bert_French,2e-05,64.0,2018.0,0.5275771847200419,0.6967213114754098,0.5043917435221783,0.6967213114754098
SEA-152,SEA-152,French,multilingual_bert_French,2e-05,64.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-151,SEA-151,French,multilingual_bert_French,2e-05,64.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-150,SEA-150,French,multilingual_bert_French,2e-05,64.0,2020.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-149,SEA-149,French,multilingual_bert_French,2e-05,64.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-148,SEA-148,French,multilingual_bert_French,2e-05,64.0,2018.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-147,SEA-147,French,multilingual_bert_French,5e-05,32.0,2022.0,0.5755508561293403,0.5819672131147541,0.518787192810962,0.5286885245901639
SEA-146,SEA-146,French,multilingual_bert_French,5e-05,32.0,2021.0,0.4019607843137255,0.6721311475409836,0.41529408196074863,0.6762295081967213
SEA-145,SEA-145,French,multilingual_bert_French,5e-05,32.0,2020.0,0.527420998980632,0.5327868852459017,0.46049589008726177,0.46311475409836067
SEA-144,SEA-144,French,multilingual_bert_French,5e-05,32.0,2019.0,0.41812400635930047,0.5081967213114754,0.42157448826039456,0.5286885245901639
SEA-143,SEA-143,French,multilingual_bert_French,5e-05,32.0,2018.0,0.29023917259211374,0.3360655737704918,0.2932532673966796,0.32786885245901637
SEA-142,SEA-142,French,multilingual_bert_French,5e-05,32.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-141,SEA-141,French,multilingual_bert_French,5e-05,32.0,2021.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-140,SEA-140,French,multilingual_bert_French,5e-05,32.0,2020.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-139,SEA-139,French,multilingual_bert_French,5e-05,32.0,2019.0,0.2846109839816934,0.32786885245901637,0.25877781702578595,0.29508196721311475
SEA-138,SEA-138,French,multilingual_bert_French,5e-05,32.0,2018.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-137,SEA-137,French,multilingual_bert_French,3e-05,32.0,2022.0,0.5147960903269295,0.5163934426229508,0.4935021891953181,0.5122950819672131
SEA-136,SEA-136,French,multilingual_bert_French,3e-05,32.0,2021.0,0.4752688172043011,0.47540983606557374,0.3938656527249683,0.3975409836065574
SEA-135,SEA-135,French,multilingual_bert_French,3e-05,32.0,2020.0,0.5530529172320217,0.5573770491803278,0.46930586231896276,0.4713114754098361
SEA-134,SEA-134,French,multilingual_bert_French,3e-05,32.0,2019.0,0.3990147783251231,0.5081967213114754,0.428125,0.5573770491803278
SEA-133,SEA-133,French,multilingual_bert_French,3e-05,32.0,2018.0,0.42574527593969574,0.4344262295081967,0.34299917149958575,0.36065573770491804
SEA-132,SEA-132,French,multilingual_bert_French,3e-05,32.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-131,SEA-131,French,multilingual_bert_French,3e-05,32.0,2021.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-130,SEA-130,French,multilingual_bert_French,3e-05,32.0,2020.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-129,SEA-129,French,multilingual_bert_French,3e-05,32.0,2019.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-128,SEA-128,French,multilingual_bert_French,3e-05,32.0,2018.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-127,SEA-127,French,multilingual_bert_French,2e-05,32.0,2022.0,0.3730555555555556,0.39344262295081966,0.3402759607165908,0.36475409836065575
SEA-126,SEA-126,French,multilingual_bert_French,2e-05,32.0,2021.0,0.42234848484848486,0.4262295081967213,0.3770424836601307,0.38524590163934425
SEA-125,SEA-125,French,multilingual_bert_French,2e-05,32.0,2020.0,0.527420998980632,0.5327868852459017,0.4649122807017544,0.4672131147540984
SEA-124,SEA-124,French,multilingual_bert_French,2e-05,32.0,2019.0,0.419047619047619,0.5245901639344263,0.42329179200687583,0.5491803278688525
SEA-123,SEA-123,French,multilingual_bert_French,2e-05,32.0,2018.0,0.29023917259211374,0.3360655737704918,0.3155200224419665,0.3442622950819672
